,Date,Open,High,Low,Close,Volume
146,2021-06-07,9.76,9.85,9.85,9.85,0
145,2021-06-04,9.3,9.85,9.3,9.85,3200
144,2021-06-03,9.3,9.85,9.85,9.85,0
143,2021-06-02,9.3,9.85,9.85,9.85,0
142,2021-06-01,9.3,9.85,9.85,9.85,0
141,2021-05-31,9.3,9.85,9.85,9.85,0
140,2021-05-28,9.3,9.85,9.3,9.85,10400
139,2021-05-27,10.87,10.87,10.87,10.87,0
138,2021-05-26,10.87,10.87,10.87,10.87,0
137,2021-05-25,10.87,10.87,10.87,10.87,0
136,2021-05-24,10.87,10.87,10.87,10.87,0
135,2021-05-21,10.87,10.87,10.87,10.87,0
134,2021-05-20,10.87,10.87,10.87,10.87,0
133,2021-05-19,10.87,10.87,10.87,10.87,0
132,2021-05-18,10.87,10.87,10.87,10.87,0
131,2021-05-17,10.87,10.87,10.87,10.87,100
130,2021-05-14,9.95,9.95,9.95,9.95,100
129,2021-05-13,9.67,9.67,8.75,8.75,10000
128,2021-05-12,10.04,10.04,9.67,9.67,2800
127,2021-05-11,8.84,8.75,8.75,8.75,0
126,2021-05-10,8.84,8.84,8.75,8.75,200
125,2021-05-07,10.04,10.04,10.04,10.04,0
124,2021-05-06,10.04,10.04,10.04,10.04,100
123,2021-05-05,8.84,8.75,8.75,8.75,0
122,2021-05-04,8.84,8.84,8.75,8.75,1000
121,2021-04-29,9.21,9.21,9.21,9.21,500
120,2021-04-28,9.95,9.95,9.95,9.95,0
119,2021-04-27,9.95,9.95,9.95,9.95,0
118,2021-04-26,9.95,9.95,9.95,9.95,400
117,2021-04-23,10.13,10.13,10.13,10.13,1300
116,2021-04-22,11.42,11.42,11.42,11.42,0
115,2021-04-20,11.42,11.42,11.42,11.42,0
114,2021-04-19,11.42,11.42,11.42,11.42,0
113,2021-04-16,11.42,11.42,11.42,11.42,1000
112,2021-04-15,10.68,10.68,10.5,10.5,2000
111,2021-04-14,9.39,10.41,9.21,10.41,10900
110,2021-04-13,10.5,10.5,10.5,10.5,5100
109,2021-04-12,9.67,9.67,9.67,9.67,600
108,2021-04-09,9.58,9.58,9.58,9.58,100
107,2021-04-08,11.05,11.05,11.05,11.05,0
106,2021-04-07,11.05,11.05,11.05,11.05,100
105,2021-04-06,9.95,9.95,9.95,9.95,500
104,2021-04-05,9.95,10.04,9.95,10.04,800
103,2021-04-02,10.59,10.96,10.59,10.59,700
102,2021-04-01,10.5,10.5,10.5,10.5,4100
101,2021-03-31,10.59,10.59,10.41,10.41,1700
100,2021-03-30,9.3,9.39,9.21,9.39,1300
99,2021-03-29,9.02,9.12,9.12,9.12,0
98,2021-03-26,9.02,9.12,9.12,9.12,0
97,2021-03-25,9.12,9.12,9.02,9.12,5600
96,2021-03-24,10.13,10.13,10.13,10.13,1000
95,2021-03-23,10.04,10.04,10.04,10.04,1200
94,2021-03-22,10.04,10.04,10.04,10.04,500
93,2021-03-19,11.05,11.05,9.58,9.58,19000
92,2021-03-18,10.22,10.22,10.22,10.22,17600
91,2021-03-17,11.05,11.05,11.05,11.05,400
90,2021-03-16,10.04,10.04,10.04,10.04,0
89,2021-03-15,10.04,10.04,10.04,10.04,300
88,2021-03-12,9.85,9.95,9.85,9.95,1000
87,2021-03-11,9.85,9.85,9.85,9.85,300
86,2021-03-10,9.58,9.58,9.58,9.58,100
85,2021-03-09,9.49,9.58,9.49,9.58,4500
84,2021-03-08,9.76,9.76,9.67,9.67,4700
83,2021-03-05,10.87,10.59,10.59,10.59,0
82,2021-03-04,11.05,11.05,10.59,10.59,2400
81,2021-03-03,10.96,11.05,10.96,11.05,600
80,2021-03-02,10.96,10.96,10.96,10.96,100
79,2021-03-01,11.6,11.6,9.49,9.49,10200
78,2021-02-26,11.05,11.05,11.05,11.05,200
77,2021-02-25,11.05,11.05,11.05,11.05,500
76,2021-02-24,11.33,11.33,10.77,10.77,10500
75,2021-02-23,10.5,10.22,10.22,10.22,0
74,2021-02-22,11.51,11.51,10.22,10.22,1900
73,2021-02-19,13.17,13.17,11.05,11.05,2600
72,2021-02-18,13.81,13.81,12.89,12.89,900
71,2021-02-17,14.27,14.27,14.27,14.27,100
70,2021-02-09,14.73,14.73,14.73,14.73,0
69,2021-02-08,14.73,14.73,14.73,14.73,100
68,2021-02-05,14.73,14.73,14.73,14.73,0
67,2021-02-04,14.73,14.73,14.73,14.73,100
66,2021-02-03,14.73,14.73,14.73,14.73,0
65,2021-02-02,14.73,14.73,14.73,14.73,0
64,2021-02-01,14.73,14.73,14.73,14.73,0
63,2021-01-29,14.73,14.73,14.73,14.73,0
62,2021-01-28,14.73,14.73,14.73,14.73,0
61,2021-01-27,14.73,14.73,14.73,14.73,0
60,2021-01-26,14.73,14.73,14.73,14.73,100
59,2021-01-25,14.83,14.73,14.73,14.73,0
58,2021-01-22,14.83,14.83,14.83,14.83,0
57,2021-01-21,14.83,14.73,14.73,14.73,0
56,2021-01-20,14.83,14.73,14.73,14.73,0
55,2021-01-19,14.83,14.73,14.73,14.73,0
54,2021-01-18,14.83,14.73,14.73,14.73,0
53,2021-01-15,14.83,14.73,14.73,14.73,0
52,2021-01-14,14.83,14.73,14.73,14.73,0
51,2021-01-13,14.83,14.73,14.73,14.73,0
50,2021-01-12,14.83,14.73,14.73,14.73,0
49,2021-01-11,14.83,14.73,14.73,14.73,0
48,2021-01-08,14.83,14.73,14.73,14.73,0
47,2021-01-07,14.92,14.92,14.73,14.73,808
46,2021-01-06,14.92,14.92,14.92,14.92,100
45,2021-01-05,12.98,12.98,12.98,12.98,0
44,2021-01-04,12.98,12.98,12.98,12.98,500
43,2020-12-31,12.98,12.98,12.98,12.98,0
42,2020-12-30,12.98,12.98,12.98,12.98,0
41,2020-12-29,12.98,12.98,12.98,12.98,0
40,2020-12-28,12.98,12.98,12.98,12.98,0
39,2020-12-25,12.98,12.98,12.98,12.98,0
38,2020-12-24,12.98,12.98,12.98,12.98,0
37,2020-12-23,12.98,12.98,12.98,12.98,900
36,2020-12-22,14.27,14.27,12.89,12.89,600
35,2020-12-21,12.89,12.89,12.89,12.89,100
34,2020-12-18,9.3,9.3,9.3,9.3,0
33,2020-12-17,9.3,9.3,9.3,9.3,0
32,2020-12-16,9.3,9.3,9.3,9.3,0
31,2020-12-15,9.3,9.3,9.3,9.3,0
30,2020-12-14,9.3,9.3,9.3,9.3,0
29,2020-12-11,9.3,9.3,9.3,9.3,0
28,2020-12-10,9.3,9.3,9.3,9.3,0
27,2020-12-09,9.3,9.3,9.3,9.3,0
26,2020-12-08,9.3,9.3,9.3,9.3,0
25,2020-12-07,9.3,9.3,9.3,9.3,0
24,2020-12-04,9.3,9.3,9.3,9.3,0
23,2020-12-03,9.3,9.3,9.3,9.3,0
22,2020-12-02,9.3,9.3,9.3,9.3,0
21,2020-12-01,9.3,9.3,9.3,9.3,0
20,2020-11-30,9.3,9.3,9.3,9.3,0
19,2020-11-27,9.3,9.3,9.3,9.3,0
18,2020-11-26,9.3,9.3,9.3,9.3,0
17,2020-11-25,9.3,9.3,9.3,9.3,0
16,2020-11-24,9.3,9.3,9.3,9.3,0
15,2020-11-23,9.3,9.3,9.3,9.3,0
14,2020-11-20,9.3,9.3,9.3,9.3,0
13,2020-11-19,9.3,9.3,9.3,9.3,0
12,2020-11-18,9.3,9.3,9.3,9.3,0
11,2020-11-17,9.3,9.3,9.3,9.3,0
10,2020-11-16,9.3,9.3,9.3,9.3,0
9,2020-11-13,9.3,9.3,9.3,9.3,0
8,2020-11-12,9.3,9.3,9.3,9.3,0
7,2020-11-11,9.3,9.3,9.3,9.3,0
6,2020-11-10,9.3,9.3,9.3,9.3,0
5,2020-11-09,9.3,9.3,9.3,9.3,0
4,2020-11-06,9.3,9.3,9.3,9.3,0
3,2020-11-05,9.3,9.3,9.3,9.3,0
2,2020-11-04,9.3,9.3,9.3,9.3,0
1,2020-11-03,9.3,9.3,9.3,9.3,0
0,2020-11-02,9.3,9.3,9.3,9.3,0
